     1    1   3.650000E+02   3.650000E+02             HEAD    80    80     1 (10F10.3)           
    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458
    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.459    51.459
    51.459    51.459    51.459    51.460    51.460    51.461    51.462    51.464    51.471    51.766
    52.353    52.942 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458
    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.459
    51.459    51.459    51.459    51.459    51.460    51.460    51.461    51.463    51.482 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458
    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.459
    51.459    51.459    51.459    51.459    51.460    51.460    51.461    51.463 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458
    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458
    51.459    51.459    51.459    51.459    51.460    51.460    51.461    51.465 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458
    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458
    51.459    51.459    51.459    51.459    51.459    51.460    51.461    51.535 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458
    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458    51.458
    51.458    51.459    51.459    51.459    51.459    51.460    51.461 -9999.000 -9999.000 -9999.000
